"DayOfWeek","StepsPerDay"
"Sunday",6921.13402203857
"Monday",7754.95221122347
"Tuesday",8029.54666666667
"Wednesday",7580.10971450086
"Thursday",7865.2227820513
"Friday",7503.05281553083
"Saturday",8285.9952856323
