"DayOfWeek","AvgDistance","AvgSleepMinutes"
"Friday",5.30992062132628,405.421052631579
"Monday",5.58834710230758,418.829787234043
"Saturday",5.90104000027478,420.810344827586
"Sunday",5.02719007369346,452.745454545455
"Thursday",5.32621624236423,402.369230769231
"Tuesday",5.83223680805072,404.538461538462
"Wednesday",5.48833332783232,434.681818181818
